Model,Type,Mitigation,Accuracy,F1_Weighted,F1_Negative,F1_Positive,F1_Neutral,ROC_AUC
LogisticRegression,baseline,none,0.6296774193548387,0.612207681458976,0.7155963302752294,0.5217391304347826,0.5171503957783641,0.7539578154887493
SVM,baseline,none,0.6258064516129033,0.61292540121353,0.7076923076923077,0.5303514376996805,0.5255102040816326,0.7348161708242125
NaiveBayes,baseline,none,0.6219354838709678,0.5957916071584985,0.7100977198697068,0.5035971223021583,0.4843304843304843,0.7443484209937052
RandomForest,baseline,none,0.6180645161290322,0.5931554665650118,0.7116022099447514,0.4785714285714286,0.4931506849315068,0.7431150576941293
LogisticRegression_smote,mitigated,tuned,0.5741935483870968,0.5744550562344267,0.6484268125854993,0.5041095890410959,0.5110132158590308,0.7308696370911187
LogisticRegression_undersampled,mitigated,tuned,0.5935483870967742,0.5918329754911803,0.6569920844327177,0.5240641711229946,0.5406698564593302,0.7361886409159184
LogisticRegression_nearmiss,mitigated,tuned,0.5612903225806452,0.5628884984896715,0.6125356125356125,0.5,0.5330578512396694,0.7207509415798273
LogisticRegression_weighted,mitigated,tuned,0.5509677419354839,0.553486340244614,0.6221590909090909,0.48021108179419525,0.5010706638115632,0.7071445132824593
SVM_smote,mitigated,tuned,0.6245161290322581,0.6102518576932239,0.7105882352941176,0.5206349206349207,0.5194805194805194,0.7310851958114428
SVM_undersampled,mitigated,tuned,0.6219354838709678,0.6189534299051398,0.6900129701686122,0.5399449035812672,0.5673076923076923,0.7401344540305539
SVM_nearmiss,mitigated,tuned,0.567741935483871,0.5689705767490156,0.625,0.5310734463276836,0.5084033613445378,0.7269733861032693
SVM_weighted,mitigated,tuned,0.6154838709677419,0.6024663633939883,0.6990521327014217,0.5189873417721519,0.5128205128205128,0.7303375717507135
NaiveBayes_smote,mitigated,tuned,0.5496774193548387,0.5449811388721854,0.631578947368421,0.47477744807121663,0.4608294930875576,0.7094050422472691
NaiveBayes_undersampled,mitigated,tuned,0.5870967741935483,0.586943106248996,0.6404341926729986,0.5231607629427792,0.5515695067264574,0.7396789416841109
NaiveBayes_nearmiss,mitigated,tuned,0.584516129032258,0.5820399515088918,0.6440677966101694,0.5281899109792285,0.5246636771300448,0.7269086892579203
NaiveBayes_weighted,mitigated,tuned,0.5496774193548387,0.5449811388721854,0.631578947368421,0.47477744807121663,0.4608294930875576,0.7094050422472691
RandomForest_smote,mitigated,tuned,0.5961290322580645,0.5834240648447341,0.6842105263157895,0.4838709677419355,0.5,0.7313416135241106
RandomForest_undersampled,mitigated,tuned,0.6167741935483871,0.6133384275556069,0.6847545219638242,0.5444444444444444,0.5528846153846154,0.7350616028324636
RandomForest_nearmiss,mitigated,tuned,0.552258064516129,0.5536873015382406,0.5968882602545968,0.5132275132275133,0.5161290322580645,0.7183032571517917
RandomForest_weighted,mitigated,tuned,0.5961290322580645,0.5834240648447341,0.6842105263157895,0.4838709677419355,0.5,0.7313416135241106
