Text,Label,Cleaned_Text
"পণ্যদ্রব্যের দাম লাগামহীন ভাবে বেড়েই চলেছেসেই সাথে জনগণের ভোগান্তি ও বেড়ে
চলেছে আল্লাহ আমাদের দুর্ভিক্ষ থেকে হেফাজত করুক",0.0,পণ্যদ্রব্যের দাম লাগামহীন ভাবে বেড়েই চলেছেসেই সাথে জনগণের ভোগান্তি ও বেড়ে চলেছে আল্লাহ আমাদের দুর্ভিক্ষ থেকে হেফাজত করুক
It s easy if they think কি হবে যদি আমরা রাসিয়া থেকে জালানি আমদানি করি,0.0,It s easy if they think কি হবে যদি আমরা রাসিয়া থেকে জালানি আমদানি করি
   সুইচ ব্যাংকে হাজার কোটি টাকা পাঁচার,0.0,সুইচ ব্যাংকে হাজার কোটি টাকা পাঁচার
আমার চ্যানেলটা ঘুরে আসবেন আশা করি ♣♣♣♣♣♣♣দয়াকরে যাদের হার্ট দুর্বল তারা আসবেন না♦♦♦♦♦,0.0,আমার চ্যানেলটা ঘুরে আসবেন আশা করি দয়াকরে যাদের হার্ট দুর্বল তারা আসবেন না
২০১৫ সালে সরকারি চাকরিজীবীদের বেতন দিগুণ করে,1.0,২০১৫ সালে সরকারি চাকরিজীবীদের বেতন দিগুণ করে
২০২৩ ওয়ানডে বিশ্বকাপের পর তিন ফরম্যাটেই বাংলাদেশের অধিনায়কত্বের দায়িত্ব পেয়েছিলেন নাজমুল হোসেন শান্ত,2.0,২০২৩ ওয়ানডে বিশ্বকাপের পর তিন ফরম্যাটেই বাংলাদেশের অধিনায়কত্বের দায়িত্ব পেয়েছিলেন নাজমুল হোসেন শান্ত
vai maybe science বানান টা ভুল হয়েছে।,0.0,vai maybe science বানান টা ভুল হয়েছে।
জিনিসপত্রের অতিরিক্ত দাম বৃদ্ধির জন্য এই শহরে জীবন ধারণ করা কঠিন হয়ে যাচ্ছে,0.0,জিনিসপত্রের অতিরিক্ত দাম বৃদ্ধির জন্য এই শহরে জীবন ধারণ করা কঠিন হয়ে যাচ্ছে
সঠিক ভাবে তদারকি করলে এই সমস্যা থেকে পরিত্রান পওয়া সম্ভব,1.0,সঠিক ভাবে তদারকি করলে এই সমস্যা থেকে পরিত্রান পওয়া সম্ভব
দেশের টাকা যখন বিদেশে চোলে যাচ্ছে তখন দেশের সরকার কী করেন ,0.0,দেশের টাকা যখন বিদেশে চোলে যাচ্ছে তখন দেশের সরকার কী করেন
ওনার মতো ব্যর্থ মন্ত্রীর পদত্যাগ করা উচিত,0.0,ওনার মতো ব্যর্থ মন্ত্রীর পদত্যাগ করা উচিত
আল্লাহ তোদের বিচার করবে অপেক্ষা কর,0.0,আল্লাহ তোদের বিচার করবে অপেক্ষা কর
মন্ত্রী মহোদয় বাজার মনিটরিং করেন প্রতিটা পণ্যের মূল্যের দাম প্রচুর পরিমাণে বেড়ে গেছে,1.0,মন্ত্রী মহোদয় বাজার মনিটরিং করেন প্রতিটা পণ্যের মূল্যের দাম প্রচুর পরিমাণে বেড়ে গেছে
দয়া করে বাজার পরিস্থিতি নিয়ন্ত্রণে রাখুনদেশের মানুষ খুবই হিমশিম খাচ্ছে দ্রব্যমূল্যের ঊর্ধ্বগতিতে,1.0,দয়া করে বাজার পরিস্থিতি নিয়ন্ত্রণে রাখুনদেশের মানুষ খুবই হিমশিম খাচ্ছে দ্রব্যমূল্যের ঊর্ধ্বগতিতে
মানুষ খুব কষ্টে আছে এটাই সত্যি,1.0,মানুষ খুব কষ্টে আছে এটাই সত্যি
আওয়ামী লীগ মানে এখন বিনোদনের কেন্দ্র,0.0,আওয়ামী লীগ মানে এখন বিনোদনের কেন্দ্র
অবিলম্বে বানিজ্য মন্ত্রীর পদত্যাগ করা উচিত,0.0,অবিলম্বে বানিজ্য মন্ত্রীর পদত্যাগ করা উচিত
দাম কমানোর চেয়ে আপনি পদত্যাগ করলে জনগণ খুশি হবে,0.0,দাম কমানোর চেয়ে আপনি পদত্যাগ করলে জনগণ খুশি হবে
