,Text,Label,Cleaned_Text
1,এটা স সহজ যদি তারা মনে কি হবে যদি আমরা রাসিয়া থেকে জালানি আমদানি করি,0.0,It s easy if they think কি হবে যদি আমরা রাসিয়া থেকে জালানি আমদানি করি
6,ভাই সম্ভবত বিজ্ঞান বানান টা ভুল হয়েছে।,0.0,vai maybe science বানান টা ভুল হয়েছে।
599,নাসা জানিয়ে দিয়েছে মহাকাশ থেকে পৃথিবীর দিকে ক্যামেরা তাক করলে শুধুই বাংলাদেশের উন্নয়ন দেখা যায় আর পৃথিবীর বাকিটুকু অন্ধকার,0.0,NASA জানিয়ে দিয়েছে মহাকাশ থেকে পৃথিবীর দিকে ক্যামেরা তাক করলে শুধুই বাংলাদেশের উন্নয়ন দেখা যায় আর পৃথিবীর বাকিটুকু অন্ধকার
625,ওবায়দুল কাদেরের তৈলাক্ত ভার্সন হলো bpc চেয়ারম্যান চেহারা আর কথা বলা দুইটাতেই মিল,0.0,ওবায়দুল কাদেরের তৈলাক্ত ভার্সন হলো BPC Chairman চেহারা আর কথা বলা দুইটাতেই মিল
653,জয় বাংলা সরকারের এমন উন্নয়নে সাধারণ মানুষের জীবন দিশেহারা,0.0,Joi Bangla সরকারের এমন উন্নয়নে সাধারণ মানুষের জীবন দিশেহারা
691,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি প্লাস্টিক পাইরোলাইসিস নিয়ে একটা তথ্যচিত্র বানানো উচিত,2.0,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি Plastic pyrolysis নিয়ে একটা তথ্যচিত্র বানানো উচিত
969,বিশ্ববাজারে তেলের দাম বাড়ে নাই বরং বিশ্ব বাজারে তেলের দাম কমে গেছে কিন্তু আমাদের দেশের রিজার্ভ চুরি হয়ে যাওয়ার কারণে আজ দেশের টাকার মান কমে গেছে আর যে কারণে আমদানি কৃত সকল পণ্যের দাম বেড়ে যাচ্ছে আশা করি উনি পরবর্তী সময় সঠিক উত্তর দিবেন,2.0,বিশ্ববাজারে তেলের দাম বাড়ে নাই বরং বিশ্ব বাজারে তেলের দাম কমে গেছে কিন্তু আমাদের দেশের রিজার্ভ চুরি হয়ে যাওয়ার কারণে আজ দেশের টাকার মান কমে গেছে আর যে কারণে আমদানি কৃত সকল পণ্যের দাম বেড়ে যাচ্ছে আশা করি উনি Next time সঠিক উত্তর দিবেন
1122,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি প্লাস্টিক পাইরোলাইসিস নিয়ে একটা তথ্যচিত্র বানানো উচিত,2.0,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি Plastic pyrolysis নিয়ে একটা তথ্যচিত্র বানানো উচিত
1163,সয়াবিন তেলের বদলে পানি ব্যবহার কর্সে বলে এখন ডিজেল অকটেন এর বদলেও পানি ব্যবহার কর সবাই,0.0,সয়াবিন তেলের বদলে পানি use কর্সে বলে এখন ডিজেল অকটেন এর বদলেও পানি use কর সবাই
1225,১০tk তেলের দাম কমলে ২০ দিন পরে ২০ টাকা বাড়বে,0.0,10tk তেলের দাম কমলে 20 দিন পরে 20 টাকা বাড়বে
1235,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি প্লাস্টিক পাইরোলাইসিস নিয়ে একটা তথ্যচিত্র বানানো উচিত,2.0,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি Plastic pyrolysis নিয়ে একটা তথ্যচিত্র বানানো উচিত
1287,২০ দিন আগে থেকেই কিনে খাচ্ছি ১৮০ টাকা করে তাই দুঃখিত ডিজিটাল বাংলাদেশ,2.0,২০ দিন আগে থেকেই কিনে খাচ্ছি ১৮০ টাকা করে So Sad Digital Bangladesh
1649,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি প্লাস্টিক পাইরোলাইসিস নিয়ে একটা তথ্যচিত্র বানানো উচিত,2.0,তেলের দাম বেড়ে গেছে সস্তা জালালি তেল তৈরি Plastic pyrolysis নিয়ে একটা তথ্যচিত্র বানানো উচিত
1887,আন্তর্জাতিক আর্থিক তহবিল এর স্বর্ত পূরোনে জ্বালানি তেলের মূল্য বৃদ্ধি করেছে ফলে পরিবহন ব্যায় সহ দ্রব্যমূ্ল্য বৃদ্ধি জনগণের ঘাড়ে আন্তর্জাতিক আর্থিক তহবিল এর সুদাসলে ঋণ পরিশোধেও ভবিষ্যতে আমরা সেই পাবলিক,0.0,MF এর স্বর্ত পূরোনে জ্বালানি তেলের মূল্য বৃদ্ধি করেছে ফলে পরিবহন ব্যায় সহ দ্রব্যমূ্ল্য বৃদ্ধি জনগণের ঘাড়ে IMF এর সুদাসলে ঋণ পরিশোধেও ভবিষ্যতে আমরা সেই পাবলিক
2126,৫০ টাকা বাড়িয়ে ৮ টাকা কমলো,0.0,50 taka বাড়িয়ে ৮ টাকা কমলো
2383,ঠকবাজ ইউএই তে তেলের দাম বেশি সেখানে আমার ইনকামও বেশী বেতন বাড়ছে না দাম ইচ্ছা মত বাড়াচ্ছেন নিজেত টাকা তেলের তেল কিনেন না কিনলে বুজতেন তাও বলি সব হিসাব একদিন দিয়ে জেতে হবে অপেক্ষায় থাকলাম,0.0,ঠকবাজ UAE তে তেলের দাম বেশি সেখানে আমার ইনকামও বেশী বেতন বাড়ছে না দাম ইচ্ছা মত বাড়াচ্ছেন নিজেত টাকা তেলের তেল কিনেন না কিনলে বুজতেন তাও বলি সব হিসাব একদিন দিয়ে জেতে হবে অপেক্ষায় থাকলাম
2384,আরে ভাই ইউ এ ই এর কথা কেন বলতেচেন কাতারের কথা বলেন কাতারে এক লিটার তেলের দাম বাংলার ৫৫ টাকা,0.0,আরে ভাই u a e এর কথা কেন বলতেচেন কাতারের কথা বলেন কাতারে এক লিটার তেলের দাম বাংলার ৫৫ টাকা
2527,দেশে ডলারের দরকার হলে আমিরিকান প্রবাসী দের কাছে আবারো জমি সরকারী ভাবে লটারীর মাঝে ছাড়া হোক ব্যাংক উদ্বৃত্ত হযে যাবে ডলারের,2.0,দেশে ডলারের দরকার হলে আমিরিকান প্রবাসী দের কাছে আবারো land সরকারী ভাবে লটারীর মাঝে ছাড়া হোক Bank surplus হযে যাবে ডলারের
2953,প্রাকৃতিক গ্যাস উড়ে যাচ্ছে আর সরকার ব্যাস্থ lng আমদানিতে,0.0,প্রাকৃতিক গ্যাস উড়ে যাচ্ছে আর সরকার ব্যাস্থ LNG আমদানিতে
3069,আন্তর্জাতিক আর্থিক তহবিল আসলে ভর্তুকি বাদ দিতে বলেনি তারা বলেছে তেলের মূল্য নির্ধারণের নিয়মেসংস্কার আনতে,1.0,IMF আসলে ভর্তুকি বাদ দিতে বলেনি তারা বলেছে তেলের মূল্য নির্ধারণের নিয়মেসংস্কার আনতে
3091,বর্তমান পরিস্থিতি ধামাচাপা দিতে সরকার বিটিএস দের আমন্ত্রণ করে দেশে নিয়ে আসছে,2.0,বর্তমান পরিস্থিতি ধামাচাপা দিতে সরকার BTS দের আমন্ত্রণ করে দেশে নিয়ে আসছে
